ID,Title,Price,Description
32,Pc Portable HP 15-FD0028NK / 16 Go / Gold / Windows 11 AVEC SACOCHE OFFERTE,"839,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ), antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 16 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gold - Windows 11 - Garantie 1 an Avec SACOCHE Offerte"
33,PC PORTABLE HP 15-FD0038NK / INTEL N100 / 16 GO / WINDOWS 11,"849,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 16 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur : Diamant Blanc - Windows 11 - Garantie 1 an"
34,PC PORTABLE HP 15-FD0038NK / INTEL N100 / 16 GO / WINDOWS 11 + SACOCHE OFFERTE,"859,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 16 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur : Diamant Blanc - Windows 11 - Garantie 1 an+ SACOCHE OFFERTE"
35,Pc Portable DELL Vostro 3520 / i3-1215U / 4 Go / 256 Go SSD / Noir,"869,000 DT","Écran 15.6"" Full HD, 120 Hz - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 4 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - FreeDos - Couleur Noir - Garantie 1 an"
36,PC Portable HP 15-fc0020nk / Ryzen 3 7320U / 4 Go / 256 Go SSD / Bleu / Windows 11,"869,000 DT","Écran Full HD 15.6"" (1920 x 1080), antireflet - Processeur AMD Ryzen 3 7320U (jusqu’à 4.1 GHz, 4 Mo de mémoire cache) - Mémoire 4 Go LPDDR5 - Disque SSD M.2 NVMe 256 Go - Carte graphique AMD Radeon Intégrée - Doubles haut-parleurs - Caméra HP True Vision HD 720p - Wi-Fi 6 - Bluetooth 5.3 - 1x USB-C - 2x USB - 1x HDMI 1.4b - 1x prise combinée casque/microphone - Windows 11 - Couleur Blue - Garantie 1 an"
37,Pc Portable HP 15-fd0029nk / Intel N100 / 8 Go / Windows 11 / Bleu + SAC À DOS HP OFFERT,"869,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 8 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an + Sac à dos HP Offert"
38,Pc Portable DELL Vostro 3520 / i3-1215U / 4 Go / 256 Go SSD / Noir Avec SACOCHE Offert,"879,000 DT","Écran 15.6"" Full HD, 120 Hz - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 4 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - FreeDos - Couleur Noir - Garantie 1 an Avec SACOCHE Offert"
39,Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / 256 Go SSD / Noir,"885,000 DT","Écran 15.6"" Full HD, 120 Hz - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - FreeDos - Couleur Noir - Garantie 1 an"
40,Pc Portable DELL Vostro 3520 / i3-1215U / 8 Go / 256 Go SSD / Noir Avec SACOCHE Offert,"899,000 DT","Écran 15.6"" Full HD, 120 Hz - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - FreeDos - Couleur Noir - Garantie 1 an Avec SACOCHE Offert"
41,Pc Portable HP 15-fd0029nk / Intel N100 / 16 Go / Windows 11 / Bleu+ SAC À DOS HP OFFERT,"909,000 DT","Écran Full HD 15.6"" (1920 x 1080 px ) antireflet - Processeur Intel Celeron N100, up to 3.4 GHz, 6 Mo de mémoire Cache - Mémoire 16 Go - Disque SSD 256 Go SSD M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Wi-Fi 6 - Bluetooth 5.3 - Caméra HP True Vision HD 720p - Doubles haut-parleurs - Clavier avec pavé numérique - 1x USB-C - 2x USB Type A - HDMI 1.4b - 1x Prise Jack - Couleur Gris ardoise - Windows 11 - Garantie 1 an  + Sac à dos HP Offert"
42,Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / 256 Go SSD / Noir,"925,000 DT","Écran 15.6"" Full HD, 120 Hz - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 12 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - FreeDos - Couleur Noir - Garantie 1 an"
43,"Pc Portable DELL Vostro 3520 / Écran 15,6"" HD / 4 Go / Noir","929,000 DT","Écran 15,6"" HD - Processeur Intel Core i3-1215U, 12e génération, up to 4.4 GHz, 10 Mo de mémoire Cache - Mémoire 4 Go - Disque SSD 256 Go M.2, PCIe NVMe - Carte Graphique Intel UHD Graphics - Caméra HD 720p -  - WiFi - Bluetooth - USB 3.2 - 1 prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - Windows 11 - Couleur Noir - Garantie 1 an"
44,Pc Portable DELL Vostro 3520 / i3-1215U / 12 Go / 256 Go SSD / Noir Avec SACOCHE Offert,"935,000 DT","Écran 15.6"" Full HD, 120 Hz - Processeur Intel Core i3-1215U, 12e génération, (jusqu'à 4.4 GHz, 10 Mo de mémoire Cache) - Mémoire 12 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte Graphique Intel UHD Graphics - Caméra HD 720p - WiFi - Bluetooth - USB 3.2 - 1x prise casque - 1x HDMI 1.4 - 1x RJ-45 - Lecteur de carte SD - FreeDos - Couleur Noir - Garantie 1 an Avec SACOCHE Offert"
